"Account Name","Environment","Cloud Provider","Cloud Provider Identifier","Service","Rule ID","Rule Title","Check Status","Risk Level","Cost","Savings","Message","Region","Categories","Resource","Provider Resource ID","Tags","Failure Discovery Date","Failure Resolved Date","Last Updated Date","Rule Release Date","Rule Update Date","Resolution Page","Check ID","Link to resource","Meta","TagObjects"
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","SecurityCenter","SecurityCenter-002","Automatic Provisioning Of The Monitoring Agent","FAILURE","Medium","","","Automatic provisioning of monitoring agent is disabled for /subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/autoProvisioningSettings/default","global","security","/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/autoProvisioningSettings/default","","","2024-03-19T08:07:45.302Z","","","2019-10-09","2023-03-03","https://www.cloudconformity.com/knowledge-base/azure/SecurityCenter/automatic-provisioning-of-monitoring-agent.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter-002:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/autoProvisioningSettings/default","https://portal.azure.com/#resource//subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/autoProvisioningSettings/default","descriptorType=security-center-auto-provisioning-settings;resourceName=Security Center Auto Provisioning Setting;lastRefreshDate=2024-06-12T02:40:06.000Z;ccrn=ccrn:azure:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/autoProvisioningSettings/default;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","SecurityCenter","SecurityCenter-033","Enable Microsoft Defender for Cloud for App Service Instances","FAILURE","High","","","Azure Microsoft Defender Plans Setting doesn't have AppServices enabled","global","security","/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/AppServices","","","2024-03-19T08:08:07.301Z","","","2022-05-17","2022-07-04","https://www.cloudconformity.com/knowledge-base/azure/SecurityCenter/defender-app-service.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter-033:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/AppServices","","descriptorType=security-center-pricings;resourceName=Security Center Pricing;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;ccrn=ccrn:azure:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/AppServices;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","SecurityCenter","SecurityCenter-034","Enable Microsoft Defender for Cloud for Key Vaults","FAILURE","High","","","Azure Microsoft Defender Plans Setting doesn't have KeyVaults enabled","global","security","/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/KeyVaults","","","2024-03-19T08:08:07.301Z","","","2022-05-17","2022-07-04","https://www.cloudconformity.com/knowledge-base/azure/SecurityCenter/defender-key-vault.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter-034:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/KeyVaults","","descriptorType=security-center-pricings;resourceName=Security Center Pricing;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;ccrn=ccrn:azure:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/KeyVaults;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","SecurityCenter","SecurityCenter-035","Enable Microsoft Defender for Cloud for SQL Server Virtual Machines","FAILURE","High","","","Azure Microsoft Defender Plans Setting doesn't have SqlServerVirtualMachines enabled","global","security","/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/SqlServerVirtualMachines","","","2024-03-19T08:08:07.301Z","","","2022-07-04","","https://www.cloudconformity.com/knowledge-base/azure/SecurityCenter/defender-sql-server-virtual-machines.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter-035:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/SqlServerVirtualMachines","","descriptorType=security-center-pricings;resourceName=Security Center Pricing;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;ccrn=ccrn:azure:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/SqlServerVirtualMachines;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","SecurityCenter","SecurityCenter-038","Enable Microsoft Defender for Cloud for Storage Accounts","FAILURE","High","","","Azure Microsoft Defender Plans Setting doesn't have StorageAccounts enabled","global","security","/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/StorageAccounts","","","2024-03-19T08:08:07.301Z","","","2022-07-04","","https://www.cloudconformity.com/knowledge-base/azure/SecurityCenter/defender-storage.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter-038:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/StorageAccounts","","descriptorType=security-center-pricings;resourceName=Security Center Pricing;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;ccrn=ccrn:azure:b63591cb-d220-4699-ac01-13738e65b6dc:SecurityCenter:global:/subscriptions/113371fc-bebd-4548-8e86-4454fc02b104/providers/Microsoft.Security/pricings/StorageAccounts;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","Monitor","Monitor-011","Configure Application Insights","FAILURE","High","","","Application Insights have not been configured.","global","security, reliability, cost-optimisation, performance-efficiency, operational-excellence","","","","2024-03-19T08:08:07.301Z","","","2023-07-26","","https://www.cloudconformity.com/knowledge-base/azure/Monitor/configure-application-insights.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:Monitor-011:Monitor:global:","","descriptorType=appinsights-components;resourceName=AppInsights Components;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","ActivityLog","ActivityLog-002","Create Alert for ""Create Policy Assignment"" Events","FAILURE","High","","","This subscription doesn't have a ""Create Policy Assignment"" Activity Log Alert properly configured.","global","security","","","","2024-03-19T08:08:07.301Z","","","2020-04-02","","https://www.cloudconformity.com/knowledge-base/azure/ActivityLog/create-alert-for-create-policy-assignment-events.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:ActivityLog-002:ActivityLog:global:","","descriptorType=monitor-activity-log-alerts;resourceName=Monitor Activity Log Alert;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","ActivityLog","ActivityLog-006","Create Alert for ""Create or Update Security Solution"" Events","FAILURE","High","","","This subscription doesn't have a ""Create or Update Security Solution"" Activity Log Alert properly configured.","global","security","","","","2024-03-19T08:08:07.301Z","","","2020-05-01","","https://www.cloudconformity.com/knowledge-base/azure/ActivityLog/create-or-update-security-solution-alert.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:ActivityLog-006:ActivityLog:global:","","descriptorType=monitor-activity-log-alerts;resourceName=Monitor Activity Log Alert;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","ActivityLog","ActivityLog-007","Create Alert for ""Update Security Policy"" Events","FAILURE","High","","","This subscription doesn't have a ""Update Security Policy"" Activity Log Alert properly configured.","global","security","","","","2024-03-19T08:08:07.301Z","","","2020-05-01","","https://www.cloudconformity.com/knowledge-base/azure/ActivityLog/update-security-policy-alert.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:ActivityLog-007:ActivityLog:global:","","descriptorType=monitor-activity-log-alerts;resourceName=Monitor Activity Log Alert;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;excluded=false",""
"Connectivity","","azure","113371fc-bebd-4548-8e86-4454fc02b104","ActivityLog","ActivityLog-010","Create Alert for ""Delete Virtual Machine"" Events","FAILURE","High","","","This subscription doesn't have a ""Delete Virtual Machine"" Activity Log Alert properly configured.","global","security","","","","2024-03-19T08:08:07.301Z","","","2020-09-04","","https://www.cloudconformity.com/knowledge-base/azure/ActivityLog/delete-virtual-machine.html#540104475733","ccc:b63591cb-d220-4699-ac01-13738e65b6dc:ActivityLog-010:ActivityLog:global:","","descriptorType=monitor-activity-log-alerts;resourceName=Monitor Activity Log Alert;notScored=false;lastRefreshDate=2024-06-12T02:40:06.000Z;excluded=false",""
