"Account Name","Environment","Cloud Provider","Cloud Provider Identifier","Service","Rule ID","Rule Title","Check Status","Risk Level","Cost","Savings","Message","Region","Categories","Resource","Provider Resource ID","Tags","Failure Discovery Date","Failure Resolved Date","Last Updated Date","Rule Release Date","Rule Update Date","Resolution Page","Check ID","Link to resource","Meta","TagObjects"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-001","Azure Disk Encryption for Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj Boot Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj","","kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw=owned, node_role=infra, ApplicationName=LDARO, Environment=SIT,UAT, AppOwner=yeli.chen, DataClassification=Internal, RequestedDept=U00024897, ResourceType=Shared, Tier=1, PlatformOwner=wenfeng.chen, MaintainDept=U00024897","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-001:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj;excluded=false","[{""kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw"":""owned""},{""node_role"":""infra""},{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""AppOwner"":""yeli.chen""},{""DataClassification"":""Internal""},{""RequestedDept"":""U00024897""},{""ResourceType"":""Shared""},{""Tier"":""1""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-001","Azure Disk Encryption for Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine aro-ctbctsbank-jpe-ts-8scfw-master-0 Boot Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0","","ApplicationName=LDARO, Environment=SIT,UAT, DataClassification=Internal, Tier=1, AppOwner=yeli.chen, RequestedDept=U00024897, PlatformOwner=wenfeng.chen, MaintainDept=U00024897, ResourceType=Shared, node_role=master","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-001:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0;excluded=false","[{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""DataClassification"":""Internal""},{""Tier"":""1""},{""AppOwner"":""yeli.chen""},{""RequestedDept"":""U00024897""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""},{""ResourceType"":""Shared""},{""node_role"":""master""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-001","Azure Disk Encryption for Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine STWJPEAROCLI02 Boot Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02","","ApplicationName=LDARO, Environment=SIT,UAT, DataClassification=Internal, Tier=1, AppOwner=yeli.chen, RequestedDept=U00024897, PlatformOwner=wenfeng.chen, MaintainDept=U00024897, ResourceType=Shared","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-001:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02;excluded=false","[{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""DataClassification"":""Internal""},{""Tier"":""1""},{""AppOwner"":""yeli.chen""},{""RequestedDept"":""U00024897""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""},{""ResourceType"":""Shared""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-001","Azure Disk Encryption for Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine STLJPEAROGF01 Boot Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01","","AppOwner=yeli.chen, ApplicationName=LDARO, CreateDate=2023-07-25, DataClassification=Internal, Environment=SIT,UAT, MaintainDept=U00024897, PlatformOwner=wenfeng.chen, RequestedDept=U00024897, ResourceType=Shared, Tier=1","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-001:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01;excluded=false","[{""AppOwner"":""yeli.chen""},{""ApplicationName"":""LDARO""},{""CreateDate"":""2023-07-25""},{""DataClassification"":""Internal""},{""Environment"":""SIT,UAT""},{""MaintainDept"":""U00024897""},{""PlatformOwner"":""wenfeng.chen""},{""RequestedDept"":""U00024897""},{""ResourceType"":""Shared""},{""Tier"":""1""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-002","Azure Disk Encryption for Non-Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-955vl Data Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-955vl","","kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw=owned, node_role=infra, ApplicationName=LDARO, Environment=SIT,UAT, AppOwner=yeli.chen, DataClassification=Internal, RequestedDept=U00024897, ResourceType=Shared, Tier=1, PlatformOwner=wenfeng.chen, MaintainDept=U00024897","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-non-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-002:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-955vl","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-955vl","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-955vl;excluded=false","[{""kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw"":""owned""},{""node_role"":""infra""},{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""AppOwner"":""yeli.chen""},{""DataClassification"":""Internal""},{""RequestedDept"":""U00024897""},{""ResourceType"":""Shared""},{""Tier"":""1""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-002","Azure Disk Encryption for Non-Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-qrstm Data Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-qrstm","","kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw=owned, node_role=infra, ApplicationName=LDARO, Environment=SIT,UAT, AppOwner=yeli.chen, DataClassification=Internal, RequestedDept=U00024897, ResourceType=Shared, Tier=1, PlatformOwner=wenfeng.chen, MaintainDept=U00024897","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-non-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-002:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-qrstm","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-qrstm","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast1-qrstm;excluded=false","[{""kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw"":""owned""},{""node_role"":""infra""},{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""AppOwner"":""yeli.chen""},{""DataClassification"":""Internal""},{""RequestedDept"":""U00024897""},{""ResourceType"":""Shared""},{""Tier"":""1""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-002","Azure Disk Encryption for Non-Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj Data Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj","","kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw=owned, node_role=infra, ApplicationName=LDARO, Environment=SIT,UAT, AppOwner=yeli.chen, DataClassification=Internal, RequestedDept=U00024897, ResourceType=Shared, Tier=1, PlatformOwner=wenfeng.chen, MaintainDept=U00024897","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-non-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-002:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-infra-japaneast3-lb5wj;excluded=false","[{""kubernetes.io-cluster-aro-ctbctsbank-jpe-ts-8scfw"":""owned""},{""node_role"":""infra""},{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""AppOwner"":""yeli.chen""},{""DataClassification"":""Internal""},{""RequestedDept"":""U00024897""},{""ResourceType"":""Shared""},{""Tier"":""1""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-002","Azure Disk Encryption for Non-Boot Disk Volumes","FAILURE","Medium","","","Virtual Machine STLJPEAROGF01 Data Disk isn't encrypted with Azure Disk Encryption","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01","","AppOwner=yeli.chen, ApplicationName=LDARO, CreateDate=2023-07-25, DataClassification=Internal, Environment=SIT,UAT, MaintainDept=U00024897, PlatformOwner=wenfeng.chen, RequestedDept=U00024897, ResourceType=Shared, Tier=1","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/enable-encryption-for-non-boot-disk-volumes.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-002:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-SUPPORTINFRA-01/providers/Microsoft.Compute/virtualMachines/STLJPEAROGF01;excluded=false","[{""AppOwner"":""yeli.chen""},{""ApplicationName"":""LDARO""},{""CreateDate"":""2023-07-25""},{""DataClassification"":""Internal""},{""Environment"":""SIT,UAT""},{""MaintainDept"":""U00024897""},{""PlatformOwner"":""wenfeng.chen""},{""RequestedDept"":""U00024897""},{""ResourceType"":""Shared""},{""Tier"":""1""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-006","Install Endpoint Protection","FAILURE","High","","","Virtual Machine STWJPEAROCLI02 has Security Center recommendations: Install endpoint protection solution on virtual machines.","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02","","ApplicationName=LDARO, Environment=SIT,UAT, DataClassification=Internal, Tier=1, AppOwner=yeli.chen, RequestedDept=U00024897, PlatformOwner=wenfeng.chen, MaintainDept=U00024897, ResourceType=Shared","2024-03-19T08:07:51.124Z","","","2020-05-01","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/install-endpoint-protection.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-006:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01/providers/Microsoft.Compute/virtualMachines/STWJPEAROCLI02;excluded=false","[{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""DataClassification"":""Internal""},{""Tier"":""1""},{""AppOwner"":""yeli.chen""},{""RequestedDept"":""U00024897""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""},{""ResourceType"":""Shared""}]"
"Landing Zone (ARO)","","azure","436c4cc3-c6ba-43c9-83af-79e2de9e13c0","VirtualMachines","VirtualMachines-007","Check for SSH Authentication Type","FAILURE","High","","","Virtual Machine aro-ctbctsbank-jpe-ts-8scfw-master-0 doesn't have SSH authentication enabled","japaneast","security","/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0","","ApplicationName=LDARO, Environment=SIT,UAT, DataClassification=Internal, Tier=1, AppOwner=yeli.chen, RequestedDept=U00024897, PlatformOwner=wenfeng.chen, MaintainDept=U00024897, ResourceType=Shared, node_role=master","2024-03-19T08:07:51.124Z","","","2020-08-19","2022-11-07","https://www.cloudconformity.com/knowledge-base/azure/VirtualMachines/ssh-authentication-type.html#540104475733","ccc:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines-007:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0","https://portal.azure.com/#resource//subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0","descriptorType=virtual-machines;resourceName=Virtual Machine;lastRefreshDate=2024-06-12T02:13:41.000Z;ccrn=ccrn:azure:2585628c-ae91-424d-bd2f-1e275b5dc089:VirtualMachines:japaneast:/subscriptions/436c4cc3-c6ba-43c9-83af-79e2de9e13c0/resourceGroups/RG-CTBCTSBANK-JPE-TS-ARO-01-CTBCTSBANKAAH-AAH-POOL/providers/Microsoft.Compute/virtualMachines/aro-ctbctsbank-jpe-ts-8scfw-master-0;excluded=false","[{""ApplicationName"":""LDARO""},{""Environment"":""SIT,UAT""},{""DataClassification"":""Internal""},{""Tier"":""1""},{""AppOwner"":""yeli.chen""},{""RequestedDept"":""U00024897""},{""PlatformOwner"":""wenfeng.chen""},{""MaintainDept"":""U00024897""},{""ResourceType"":""Shared""},{""node_role"":""master""}]"
